,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
405,460322,Female,Yes,52,No,Engineer,9,Low,2,Cat_6
406,460323,Female,No,38,Yes,Engineer,10,Low,1,Cat_6
407,460324,Female,No,30,Yes,Entertainment,12,Low,2,Cat_6
408,460327,Female,No,43,Yes,Artist,10,Low,1,Cat_6
409,460333,Female,No,42,No,Entertainment,10,Low,4,Cat_6
410,460336,Female,No,46,Yes,Artist,2,Low,1,Cat_7
411,460340,Female,No,47,Yes,Artist,11,Low,2,Cat_6
412,460341,Female,No,32,No,Entertainment,13,Low,5,Cat_7
413,460344,Female,Yes,53,Yes,Artist,11,Average,2,Cat_6
414,460346,Female,Yes,43,Yes,Artist,12,Average,2,Cat_6
415,460348,Female,No,39,Yes,Artist,0,Low,2,Cat_6
416,460349,Male,Maybe,42,Yes,Artist,3,Average,2,Cat_6
417,460354,Female,No,37,Yes,Artist,3,Low,1,Cat_3
418,460356,Male,No,19,No,Healthcare,0,Low,4,Cat_6
419,460358,Male,No,30,No,Marketing,1,Low,1,Cat_3
420,460361,Female,Yes,49,Yes,Artist,0,Low,1,Cat_4
421,460362,Male,Yes,55,Yes,Healthcare,0,Low,3,Cat_4
422,460365,Female,Yes,59,Yes,Doctor,1,Low,2,Cat_4
423,460369,Female,Yes,46,Yes,Artist,2,Low,2,Cat_6
424,460370,Female,Yes,27,Yes,Executive,9,High,2,Cat_6
425,460371,Female,No,25,Yes,Artist,1,Low,2,Cat_6
426,460378,Female,No,37,Yes,Doctor,1,Low,1,Cat_6
427,460379,Male,No,38,Yes,Artist,9,Low,3,Cat_6
428,460380,Male,No,29,Yes,Entertainment,9,Low,3,Cat_6
429,460381,Male,No,28,Yes,Artist,11,Low,2,Cat_6
430,460384,Female,Yes,27,Yes,Marketing,8,Low,2,Cat_6
431,460387,Female,No,42,No,Entertainment,3,Low,2,Cat_6
432,460388,Female,No,43,Yes,Artist,14,Low,2,Cat_6
433,460389,Female,Yes,40,Yes,Healthcare,8,Average,2,Cat_6
434,460390,Male,No,41,Yes,Artist,9,Low,3,Cat_6
435,460392,Male,Yes,46,No,Entertainment,8,Low,1,Cat_1
436,460394,Female,No,32,Yes,Healthcare,9,Low,3,Cat_6
437,460397,Female,No,56,Yes,Entertainment,1,Low,1,Cat_6
438,460399,Male,No,28,Yes,Marketing,12,Low,1,Cat_6
439,460401,Female,No,25,Yes,Artist,0,Low,3,Cat_7
440,460404,Male,Yes,42,Yes,Artist,6,Low,7,Cat_6
441,460405,Female,No,41,Yes,Entertainment,5,Low,2,Cat_6
442,460406,Male,Yes,36,Yes,Healthcare,3,Low,2,Cat_6
443,460408,Female,No,42,Yes,Artist,2,Low,1,Cat_6
444,460409,Female,No,42,Yes,Artist,8,Low,4,Cat_6
445,460415,Female,No,55,Yes,Entertainment,1,Low,2,Cat_6
446,460422,Male,Yes,52,Yes,Entertainment,1,High,2,Cat_6
447,460431,Female,No,47,Yes,Engineer,1,Low,1,Cat_6
448,460434,Male,Maybe,57,Yes,Artist,2,High,3,Cat_6
449,460437,Female,No,26,Yes,Artist,8,Low,1,Cat_6
450,460440,Female,No,28,No,Artist,5,Low,2,Cat_6
451,460443,Female,No,37,Yes,Doctor,0,Low,1,Cat_6
452,460447,Male,Maybe,89,No,Lawyer,0,Low,1,Cat_3
453,460449,Male,No,25,No,Marketing,2,Low,1,Cat_3
454,460450,Male,Yes,50,Yes,Executive,1,High,4,Cat_4
455,460453,Female,No,42,Yes,Doctor,5,Low,1,Cat_6
456,460454,Male,No,48,Yes,Artist,2,Low,1,Cat_6
457,460457,Female,No,37,Yes,Entertainment,9,Low,2,Cat_3
458,460459,Female,No,30,No,Engineer,1,Low,5,Cat_3
459,460460,Male,Yes,26,No,Entertainment,2,Low,4,Cat_3
460,460467,Female,Yes,47,Yes,Artist,2,Average,2,Cat_6
461,460470,Male,No,36,No,Healthcare,2,Low,4,Cat_4
462,460476,Male,Yes,53,No,Doctor,2,Average,4,Cat_3
463,460477,Male,No,30,No,Entertainment,1,Low,6,Cat_3
464,460484,Female,No,20,No,Healthcare,4,Low,7,Cat_3
465,460485,Female,No,19,No,Marketing,8,Low,5,Cat_3
466,460489,Male,No,19,No,Healthcare,9,Low,6,Cat_3
467,460492,Female,No,37,No,Marketing,12,Low,2,Cat_3
468,460495,Male,No,20,No,Healthcare,0,Low,6,Cat_3
469,460504,Male,Maybe,39,No,Executive,2,Average,3,Cat_3
470,460505,Female,No,26,Yes,Engineer,1,Low,3,Cat_3
471,460507,Male,No,31,No,Doctor,0,Low,4,Cat_3
472,460508,Male,Yes,31,Yes,Healthcare,2,High,3,Cat_3
473,460518,Female,Yes,41,Yes,Engineer,9,Average,3,Cat_3
474,460522,Female,Yes,32,No,Homemaker,2,Average,2,Cat_4
475,460541,Female,Yes,42,Yes,Homemaker,0,Average,3,Cat_3
476,460542,Female,Yes,89,No,Lawyer,1,Low,2,Cat_3
477,460545,Male,Yes,78,No,Lawyer,1,High,3,Cat_3
478,460546,Female,Yes,65,Yes,Lawyer,1,Low,2,Cat_3
479,460547,Female,Yes,48,Yes,Homemaker,0,Average,2,Cat_3
480,460549,Male,No,36,Yes,Artist,8,Low,2,Cat_3
481,460550,Female,Yes,55,Yes,Artist,0,Average,4,Cat_3
482,460551,Male,Yes,52,Yes,Engineer,0,Average,2,Cat_3
483,460555,Male,Yes,52,Yes,Homemaker,7,Average,3,Cat_3
484,460556,Female,Yes,41,Yes,No_Information,1,Low,1,Cat_3
485,460558,Female,Yes,36,Yes,Engineer,2,Low,1,Cat_3
486,460561,Female,No,37,No,Engineer,7,Low,1,Cat_3
487,460563,Female,No,40,No,Healthcare,1,Low,2,Cat_1
488,460566,Male,Yes,38,Yes,Homemaker,2,Average,2,Cat_3
489,460571,Male,No,25,No,Doctor,0,Low,3,Cat_3
490,460572,Female,No,33,Yes,Engineer,1,Low,4,Cat_3
491,460574,Male,No,26,Yes,Artist,1,Low,1,Cat_3
492,460582,Female,No,28,No,Entertainment,0,Low,1,Cat_3
493,460583,Male,No,18,No,Marketing,0,Low,6,Cat_3
494,460585,Male,No,52,No,Entertainment,0,Low,3,Cat_3
495,460586,Male,No,26,Yes,Healthcare,0,Low,2,Cat_3
496,460588,Male,No,18,No,Healthcare,0,Low,4,Cat_3
497,460597,Female,No,20,No,Marketing,1,Low,2,Cat_3
498,460598,Female,Yes,36,Yes,Doctor,0,Average,3,Cat_3
499,460605,Male,Yes,27,Yes,Doctor,8,Average,2,Cat_4
500,460606,Male,No,21,No,Healthcare,2,Low,5,Cat_7
501,460612,Male,No,27,Yes,Entertainment,8,Low,4,Cat_3
502,460615,Female,No,28,Yes,Healthcare,2,Low,2,Cat_3
503,460618,Male,Yes,63,Yes,Lawyer,2,Low,4,Cat_3
504,460619,Male,No,48,Yes,Entertainment,2,Low,2,Cat_3
505,460621,Male,Yes,80,Yes,Lawyer,1,Low,2,Cat_3
506,460622,Female,Yes,71,Yes,Lawyer,7,High,3,Cat_3
507,460626,Male,Yes,47,No,Doctor,8,High,4,Cat_6
508,460627,Female,No,22,No,Student,1,Low,4,Cat_3
509,460633,Male,Yes,35,Yes,No_Information,2,High,2,Cat_3
510,460634,Female,No,40,No,Entertainment,2,Low,6,Cat_3
511,460637,Female,No,18,No,Healthcare,2,Low,2,Cat_3
512,460638,Female,No,26,Yes,Artist,0,Low,4,Cat_3
513,460639,Female,Yes,73,Yes,Lawyer,2,Low,5,Cat_1
514,460640,Male,Yes,86,Yes,Lawyer,2,Low,1,Cat_3
515,460645,Female,No,37,No,Doctor,1,Low,2,Cat_3
516,460646,Male,Yes,59,Yes,Entertainment,2,Low,2,Cat_3
517,460653,Female,No,28,No,Homemaker,8,Low,1,Cat_4
518,460656,Female,Yes,29,Yes,Artist,9,Low,3,Cat_6
519,460658,Female,Yes,37,Yes,Marketing,7,Average,3,Cat_6
520,460659,Female,Yes,46,Yes,Marketing,2,Average,3,Cat_6
521,460660,Male,No,39,Yes,Entertainment,6,Low,1,Cat_6
522,460661,Female,No,33,No,Homemaker,8,Low,1,Cat_6
523,460668,Female,No,32,Yes,Doctor,2,Low,2,Cat_3
524,460678,Female,No,32,No,Doctor,6,Low,2,Cat_3
525,460686,Female,Maybe,25,No,Homemaker,8,Low,1,Cat_3
526,460687,Female,Yes,48,Yes,Homemaker,9,Average,2,Cat_3
527,460691,Female,No,27,No,Homemaker,8,Low,1,Cat_3
528,460702,Female,No,49,Yes,Artist,1,Low,1,Cat_6
529,460703,Female,Yes,33,Yes,Engineer,8,Average,5,Cat_4
530,460706,Female,No,33,No,Engineer,7,Low,6,Cat_4
531,460708,Male,Yes,39,Yes,Artist,0,Low,3,Cat_6
532,460716,Male,Yes,50,Yes,Entertainment,0,Average,4,Cat_6
533,460719,Female,Yes,84,Yes,Lawyer,0,Low,2,Cat_3
534,460720,Female,Yes,46,Yes,Artist,0,Average,2,Cat_6
535,460722,Male,Yes,31,No,Entertainment,0,Average,3,Cat_3
536,460726,Male,Yes,57,Yes,Artist,3,Average,2,Cat_6
537,460727,Male,Yes,73,No,Executive,1,High,4,Cat_3
538,460729,Male,Yes,36,Yes,Entertainment,9,Low,4,Cat_6
539,460733,Male,No,53,Yes,Marketing,2,Low,4,Cat_6
540,460734,Male,Yes,41,Yes,Entertainment,9,Average,2,Cat_2
541,460738,Female,No,53,No,Engineer,0,Low,2,Cat_7
542,460740,Male,Yes,35,Yes,Artist,2,Average,3,Cat_6
543,460743,Male,Yes,62,Yes,Artist,0,Average,3,Cat_6
544,460746,Male,No,23,No,Marketing,0,Low,3,Cat_6
545,460763,Male,No,51,Yes,Artist,1,Low,2,Cat_6
546,460769,Female,Yes,83,No,Lawyer,1,High,2,Cat_6
547,460780,Female,No,26,Yes,Healthcare,0,Low,2,Cat_3
548,460783,Male,Yes,86,Yes,Lawyer,1,Low,1,Cat_6
549,460785,Male,No,26,Yes,Healthcare,0,Low,4,Cat_7
550,460789,Male,Yes,42,Yes,Executive,0,Low,3,Cat_6
551,460794,Female,Yes,41,Yes,Homemaker,9,Low,1,Cat_6
552,460796,Male,Yes,67,No,Lawyer,0,Low,3,Cat_6
553,460802,Male,Yes,68,Yes,Lawyer,1,High,2,Cat_6
554,460811,Female,Yes,45,No,Engineer,0,High,2,Cat_6
555,460813,Female,Yes,86,No,Lawyer,0,High,2,Cat_6
556,460815,Male,Yes,62,Yes,Artist,0,High,2,Cat_3
557,460822,Male,Yes,42,Yes,Artist,1,Low,2,Cat_6
558,460825,Male,No,26,Yes,Doctor,0,Low,3,Cat_4
559,460828,Male,No,48,No,Entertainment,1,Low,1,Cat_6
560,460830,Male,Yes,40,No,Entertainment,3,Average,5,Cat_2
561,460831,Male,No,20,No,Healthcare,0,Low,4,Cat_6
562,460837,Female,No,25,Yes,Artist,1,Low,1,Cat_5
563,460838,Male,No,37,Yes,Artist,1,Low,2,Cat_6
564,460840,Male,Yes,77,Yes,Lawyer,1,Low,1,Cat_6
565,460844,Male,Yes,50,Yes,Healthcare,2,Low,2,Cat_6
566,460846,Female,No,22,No,Marketing,0,Low,4,Cat_6
567,460847,Male,No,26,Yes,Artist,1,Low,3,Cat_6
568,460851,Male,Yes,71,No,Doctor,0,Average,3,Cat_6
569,460855,Male,Yes,50,Yes,Artist,2,Low,2,Cat_6
570,460857,Male,No,29,No,Entertainment,1,Low,1,Cat_4
571,460859,Male,Yes,51,Yes,Entertainment,2,Low,4,Cat_6
572,460860,Male,Yes,52,Yes,Artist,6,Average,4,Cat_6
573,460861,Male,No,20,No,Healthcare,1,Low,3,Cat_3
574,460866,Male,No,26,Yes,Doctor,0,Low,9,Cat_4
575,460870,Male,No,37,Yes,Healthcare,2,Low,2,Cat_4
576,460871,Female,No,33,Yes,Healthcare,2,Low,2,Cat_6
577,460872,Female,Yes,39,Yes,Artist,0,Low,2,Cat_4
578,460877,Female,Yes,53,No,Artist,1,Average,5,Cat_6
579,460878,Male,Yes,49,No,Entertainment,0,Average,4,Cat_6
580,460882,Male,No,21,No,Healthcare,0,Low,2,Cat_3
581,460888,Male,Yes,39,No,Homemaker,8,Low,1,Cat_6
582,460891,Female,Yes,38,No,Artist,2,Average,4,Cat_3
583,460897,Male,No,22,No,Healthcare,4,Low,4,Cat_6
584,460898,Male,Yes,52,No,Artist,2,Average,4,Cat_6
585,460899,Male,No,40,Yes,Entertainment,2,Low,3,Cat_6
586,460901,Male,No,20,No,Doctor,8,Low,3,Cat_6
587,460902,Male,No,41,Yes,Executive,1,Low,3,Cat_6
588,460905,Male,No,30,Yes,Artist,1,Low,1,Cat_3
589,460906,Female,Yes,89,Yes,Lawyer,1,High,3,Cat_6
590,460907,Male,Yes,83,No,Lawyer,1,High,3,Cat_6
591,460923,Male,Yes,53,Yes,Artist,0,Average,3,Cat_6
592,460924,Male,No,31,No,Doctor,1,Low,5,Cat_2
593,460928,Male,Yes,48,Yes,Artist,1,Average,4,Cat_6
594,460934,Female,No,29,No,Doctor,0,Low,2,Cat_6
595,460935,Male,Yes,87,Yes,Lawyer,0,Low,1,Cat_6
596,460945,Male,No,19,No,Engineer,4,Low,7,Cat_6
597,460953,Male,Yes,60,No,Entertainment,1,Low,2,Cat_6
598,460961,Male,No,23,No,Healthcare,1,Low,2,Cat_3
599,460962,Male,Yes,61,Yes,Executive,9,High,4,Cat_6
600,460963,Female,No,27,Yes,Artist,1,Low,3,Cat_6
601,460968,Male,Yes,32,No,Doctor,14,Average,2,Cat_3
602,460975,Male,Yes,79,Yes,Lawyer,0,High,2,Cat_6
603,460976,Male,No,19,No,Healthcare,1,Low,4,Cat_6
604,460977,Male,Yes,42,Yes,Executive,0,High,3,Cat_4
605,460979,Male,Yes,76,No,Lawyer,1,Low,1,Cat_6
606,460981,Female,Yes,41,No,Marketing,1,Average,2,Cat_6
607,460984,Male,Yes,38,Yes,Entertainment,0,Average,4,Cat_6
608,460988,Male,Yes,43,Yes,Entertainment,0,Average,3,Cat_4
609,460989,Male,No,19,No,Healthcare,1,Low,3,Cat_1
610,460991,Female,No,28,Yes,Healthcare,1,Low,3,Cat_7
611,460993,Male,Yes,56,Yes,Artist,0,Average,4,Cat_6
612,460999,Male,No,28,Yes,Engineer,0,Low,3,Cat_3
613,461000,Male,Yes,60,No,Marketing,1,High,2,Cat_3
614,461001,Female,No,55,Yes,Artist,0,Low,2,Cat_3
615,461015,Male,Yes,35,Yes,Entertainment,1,Average,2,Cat_3
616,461016,Male,No,25,No,Healthcare,5,Low,5,Cat_3
617,461022,Male,Yes,71,Yes,Artist,1,Low,1,Cat_3
618,461023,Male,Yes,65,No,Lawyer,2,High,2,Cat_3
619,461024,Male,Yes,74,Yes,Lawyer,1,Low,1,Cat_6
620,461028,Female,No,20,No,Healthcare,5,Low,4,Cat_4
621,461029,Male,Yes,43,No,Entertainment,9,Low,2,Cat_4
622,461034,Female,No,20,No,Marketing,3,Low,6,Cat_3
623,461037,Male,Yes,40,Yes,Healthcare,2,High,5,Cat_3
624,461038,Female,Yes,46,Yes,Engineer,0,High,5,Cat_3
625,461041,Female,Yes,65,No,Lawyer,1,High,7,Cat_3
626,461042,Male,No,21,No,Healthcare,0,Low,2,Cat_4
627,461043,Male,Yes,50,No,Healthcare,1,Low,7,Cat_4
628,461044,Male,No,18,No,Healthcare,0,Low,5,Cat_4
629,461049,Female,Yes,61,Yes,Doctor,1,Low,7,Cat_7
630,461050,Male,Yes,49,Yes,No_Information,1,High,3,Cat_6
631,461053,Male,Yes,39,No,Executive,2,High,4,Cat_3
632,461059,Female,Yes,52,No,Lawyer,1,High,2,Cat_6
633,461060,Male,Yes,56,Yes,Executive,0,High,5,Cat_6
634,461065,Male,Yes,55,Yes,Executive,2,Low,6,Cat_3
635,461071,Male,Yes,42,No,Engineer,1,Average,5,Cat_3
636,461078,Female,No,33,No,Homemaker,0,Low,6,Cat_3
637,461082,Male,No,19,No,Healthcare,8,Low,4,Cat_1
638,461085,Female,No,27,No,Engineer,1,Low,1,Cat_3
639,461093,Female,Yes,38,Yes,Artist,1,Average,4,Cat_3
640,461099,Female,No,38,No,Artist,1,Low,4,Cat_3
641,461111,Female,Yes,43,Yes,Doctor,8,Low,1,Cat_6
642,461114,Male,Yes,53,Yes,Artist,1,Average,4,Cat_3
643,461116,Male,Yes,33,No,Executive,4,High,4,Cat_3
644,461118,Female,No,30,Yes,Healthcare,7,Low,2,Cat_3
645,461119,Female,No,22,No,Healthcare,6,Low,3,Cat_3
646,461121,Male,No,33,No,Doctor,0,Low,4,Cat_3
647,461124,Male,No,21,No,Healthcare,1,Low,8,Cat_4
648,461127,Male,No,20,No,Healthcare,1,Low,5,Cat_4
649,461128,Male,No,19,No,Healthcare,7,Low,3,Cat_6
650,461129,Female,Yes,58,Yes,Entertainment,1,Average,4,Cat_6
651,461131,Male,Yes,67,Yes,Artist,1,High,2,Cat_6
652,461145,Female,Yes,36,Yes,Entertainment,1,Low,2,Cat_3
653,461152,Female,No,30,No,Homemaker,8,Low,2,Cat_3
654,461154,Male,No,23,No,Homemaker,1,Low,4,Cat_3
655,461158,Female,No,42,Yes,Entertainment,1,Low,2,Cat_3
656,461162,Female,No,37,No,Marketing,8,Low,3,Cat_3
657,461163,Female,Yes,58,No,Entertainment,9,Low,4,Cat_3
658,461168,Female,Yes,26,No,Engineer,7,Average,2,Cat_3
659,461169,Male,No,39,Yes,Entertainment,9,Low,2,Cat_3
660,461174,Female,No,23,No,Marketing,2,Low,4,Cat_3
661,461177,Male,Yes,41,No,Executive,8,Average,4,Cat_1
662,461178,Male,Yes,26,No,Entertainment,0,Low,3,Cat_3
663,461179,Female,Yes,25,No,Engineer,3,Low,3,Cat_3
664,461181,Male,No,19,No,Healthcare,2,Low,4,Cat_3
665,461183,Male,No,36,No,Executive,0,Low,5,Cat_3
666,461187,Male,No,29,No,Healthcare,9,Low,4,Cat_3
667,461197,Male,No,26,No,Marketing,1,Low,1,Cat_3
668,461198,Female,No,78,Yes,Lawyer,2,Low,1,Cat_6
669,461201,Female,No,55,Yes,Artist,2,Low,1,Cat_6
670,461205,Male,No,26,Yes,Healthcare,2,Low,3,Cat_2
671,461211,Female,No,46,Yes,Entertainment,0,Low,1,Cat_6
672,461214,Male,No,29,No,Healthcare,0,Low,4,Cat_6
673,461215,Female,No,36,Yes,Artist,10,Low,1,Cat_6
674,461218,Male,Yes,27,No,Executive,1,Low,6,Cat_6
675,461220,Female,No,29,No,Executive,8,Low,3,Cat_6
676,461221,Female,No,25,No,Marketing,1,Low,4,Cat_6
677,461225,Female,No,30,No,Marketing,10,Low,6,Cat_6
678,461226,Male,Yes,45,Yes,No_Information,1,Low,2,Cat_6
679,461230,Female,No,21,No,Executive,0,Low,2,Cat_3
680,461232,Female,Yes,41,Yes,Executive,2,High,2,Cat_3
681,461233,Male,Yes,38,Yes,Entertainment,2,Low,2,Cat_3
682,461236,Female,No,28,Yes,Healthcare,9,Low,1,Cat_6
683,461237,Male,No,33,Yes,Doctor,1,Low,5,Cat_2
684,461241,Male,Yes,31,Yes,Healthcare,7,Low,2,Cat_6
685,461242,Male,Yes,45,Yes,Healthcare,0,Low,2,Cat_6
686,461243,Male,Yes,47,Yes,Marketing,0,Low,5,Cat_6
687,461248,Female,No,39,No,Healthcare,0,Low,1,Cat_6
688,461251,Female,No,47,Yes,Marketing,1,Low,2,Cat_6
689,461252,Female,Yes,53,Yes,Doctor,0,Low,1,Cat_3
690,461256,Male,No,27,No,Doctor,1,Low,4,Cat_4
691,461257,Male,Yes,37,Yes,Engineer,1,Average,2,Cat_4
692,461258,Female,Yes,62,Yes,Artist,1,Average,3,Cat_4
693,461262,Female,No,29,No,Engineer,0,Low,7,Cat_4
694,461263,Female,Yes,51,Yes,Artist,0,Low,1,Cat_4
695,461265,Male,No,30,No,Marketing,1,Low,6,Cat_4
696,461269,Male,No,18,No,Entertainment,0,Low,4,Cat_4
697,461274,Female,Yes,87,Yes,Lawyer,2,High,2,Cat_6
698,461276,Male,Yes,68,Yes,Marketing,0,Low,2,Cat_7
699,461277,Male,Yes,84,Yes,Lawyer,5,Low,1,Cat_6
700,461281,Male,No,22,No,Healthcare,2,Low,9,Cat_2
701,461286,Female,No,22,No,Doctor,2,Low,4,Cat_6
702,461289,Male,No,21,No,Healthcare,1,Low,3,Cat_6
703,461292,Female,Yes,89,No,Lawyer,2,High,2,Cat_3
704,461297,Male,Yes,73,No,Lawyer,0,High,2,Cat_6
705,461299,Female,Yes,75,Yes,Lawyer,0,High,2,Cat_6
706,461303,Female,No,20,No,Doctor,6,Low,4,Cat_2
707,461308,Male,No,22,No,Healthcare,1,Low,2,Cat_6
708,461309,Female,No,22,No,Healthcare,0,Low,4,Cat_6
709,461313,Male,Yes,63,Yes,Artist,0,Average,2,Cat_6
710,461314,Male,Yes,46,Yes,Artist,1,Average,3,Cat_6
711,461319,Male,Yes,58,No,Artist,0,Average,2,Cat_6
712,461320,Female,No,41,Yes,Artist,1,Low,3,Cat_6
713,461322,Male,Yes,42,Yes,Artist,0,Average,2,Cat_6
714,461323,Female,Yes,43,Yes,Healthcare,6,Average,2,Cat_6
715,461324,Female,No,49,Yes,Artist,3,Low,1,Cat_6
716,461326,Female,No,40,Yes,Artist,0,Low,1,Cat_6
717,461335,Male,Yes,53,No,Executive,8,High,2,Cat_6
718,461340,Male,Yes,36,Yes,Artist,4,Average,2,Cat_7
719,461346,Male,Yes,50,Yes,Artist,8,Low,2,Cat_6
720,461348,Male,Yes,42,Yes,Healthcare,1,Low,1,Cat_6
721,461350,Male,No,30,No,Healthcare,0,Low,4,Cat_2
722,461352,Male,No,29,No,Healthcare,2,Low,5,Cat_2
723,461356,Male,No,28,Yes,Entertainment,1,Low,2,Cat_6
724,461357,Male,No,27,Yes,Healthcare,1,Low,4,Cat_6
725,461363,Male,No,49,Yes,Artist,0,Low,1,Cat_6
726,461366,Male,No,32,Yes,Healthcare,1,Low,1,Cat_6
727,461370,Male,No,25,Yes,Doctor,1,Low,3,Cat_6
728,461377,Female,Yes,63,Yes,Artist,2,Low,1,Cat_6
729,461378,Female,No,42,Yes,Artist,8,Low,1,Cat_6
730,461379,Male,No,31,Yes,Healthcare,1,Low,2,Cat_5
731,461383,Male,Yes,71,Yes,Artist,0,High,2,Cat_6
732,461388,Male,No,20,No,Healthcare,2,Low,5,Cat_2
733,461397,Male,No,22,No,Healthcare,1,Low,4,Cat_6
734,461402,Female,No,29,Yes,Entertainment,1,Low,5,Cat_6
735,461408,Male,Yes,47,Yes,Marketing,0,Low,3,Cat_6
736,461421,Male,Yes,43,Yes,Artist,2,Average,3,Cat_6
737,461423,Male,No,32,Yes,Artist,1,Low,3,Cat_4
738,461426,Male,Yes,47,Yes,Artist,7,Average,2,Cat_6
739,461428,Male,No,46,Yes,Artist,0,Low,1,Cat_6
740,461432,Female,Yes,41,Yes,Artist,1,Average,2,Cat_6
741,461437,Male,Yes,37,Yes,Entertainment,0,Average,2,Cat_6
742,461439,Male,Yes,40,Yes,Artist,0,Average,2,Cat_6
743,461441,Male,Yes,60,Yes,Artist,0,Average,4,Cat_6
744,461442,Male,Yes,46,Yes,Artist,0,Average,6,Cat_2
745,461454,Female,Yes,36,Yes,Artist,6,High,4,Cat_7
746,461456,Female,No,38,No,Marketing,0,Low,1,Cat_6
747,461457,Female,Yes,32,No,Doctor,0,Low,5,Cat_6
748,461458,Female,No,41,Yes,Artist,5,Low,1,Cat_6
749,461462,Male,Yes,56,Yes,Marketing,0,Low,3,Cat_6
750,461465,Male,Yes,31,Yes,Artist,8,Average,2,Cat_6
751,461466,Male,Yes,45,No,Artist,0,Low,2,Cat_7
752,461468,Male,Yes,69,Yes,Entertainment,2,Average,3,Cat_6
753,461469,Male,Yes,37,Yes,Artist,0,Low,2,Cat_6
754,461476,Male,Yes,47,Yes,Artist,1,Average,4,Cat_2
755,461479,Female,Yes,52,Yes,Artist,1,Average,3,Cat_6
756,461480,Female,Yes,57,Yes,Artist,1,High,3,Cat_6
757,461482,Female,No,50,Yes,Artist,9,Low,1,Cat_6
758,461494,Male,Yes,27,No,Engineer,0,Average,2,Cat_6
759,461501,Female,Yes,45,Yes,Engineer,1,High,3,Cat_6
760,461503,Female,No,30,Yes,Artist,8,Low,2,Cat_6
761,461510,Male,Yes,45,Yes,Artist,0,Low,2,Cat_6
762,461514,Male,No,30,No,Healthcare,1,Low,4,Cat_6
763,461516,Male,Yes,31,Yes,Entertainment,1,Average,3,Cat_6
764,461518,Female,Yes,45,Yes,Artist,1,Average,4,Cat_3
765,461521,Male,Yes,67,Yes,Artist,0,High,2,Cat_6
766,461522,Male,Yes,76,No,Executive,1,High,2,Cat_6
767,461525,Male,Yes,69,Yes,Entertainment,0,Low,2,Cat_6
768,461526,Male,Yes,83,No,Entertainment,0,Low,2,Cat_6
769,461530,Male,Yes,38,Yes,Engineer,0,Low,2,Cat_6
770,461534,Male,Yes,36,Yes,Artist,0,Low,1,Cat_6
771,461540,Male,No,41,Yes,No_Information,2,Low,2,Cat_2
772,461546,Female,Yes,69,No,Lawyer,0,Low,3,Cat_6
773,461548,Female,No,33,Yes,Engineer,0,Low,3,Cat_6
774,461553,Male,No,38,Yes,Artist,1,Low,3,Cat_7
775,461556,Female,Yes,48,Yes,Engineer,1,Average,2,Cat_6
776,461558,Male,Yes,51,Yes,Engineer,2,Average,2,Cat_6
777,461564,Male,Yes,56,Yes,Executive,1,High,2,Cat_6
778,461570,Male,Yes,57,Yes,Artist,0,Average,3,Cat_6
779,461574,Female,Yes,49,Yes,Artist,1,Average,3,Cat_6
780,461587,Male,No,30,Yes,Healthcare,0,Low,3,Cat_6
781,461593,Female,Yes,40,Yes,Doctor,8,Average,2,Cat_6
782,461602,Female,No,30,Yes,Artist,0,Low,2,Cat_6
783,461604,Male,Yes,38,No,Entertainment,0,Average,2,Cat_6
784,461612,Female,No,31,Yes,Healthcare,8,Low,5,Cat_6
785,461615,Male,No,33,Yes,Doctor,0,Low,2,Cat_6
786,461617,Male,No,50,Yes,Artist,0,Low,2,Cat_6
787,461619,Male,Yes,52,Yes,Executive,2,High,3,Cat_6
788,461624,Female,Yes,39,Yes,Artist,0,Average,2,Cat_2
789,461626,Male,Yes,73,Yes,Executive,0,High,2,Cat_6
790,461630,Male,Yes,46,Yes,Artist,0,Average,3,Cat_6
791,461637,Male,Yes,50,Yes,Artist,0,Low,2,Cat_7
792,461644,Male,No,30,No,Healthcare,0,Low,6,Cat_6
793,461653,Female,Yes,60,Yes,Doctor,0,Average,2,Cat_6
794,461655,Female,Yes,39,Yes,Homemaker,9,Average,2,Cat_6
795,461658,Female,Yes,59,Yes,Artist,1,Average,2,Cat_5
796,461659,Female,Yes,51,Yes,Artist,0,Average,2,Cat_6
797,461661,Female,Yes,40,Yes,Artist,5,Average,2,Cat_2
798,461663,Male,No,23,No,Healthcare,1,Low,3,Cat_6
799,461668,Male,Yes,53,Yes,Artist,4,Average,4,Cat_2
800,461671,Male,No,32,No,Healthcare,7,Low,5,Cat_6
801,461674,Male,Yes,52,Yes,Executive,0,High,4,Cat_6
802,461676,Female,No,31,Yes,Engineer,0,Low,1,Cat_6
803,461679,Male,No,30,Yes,Healthcare,3,Low,4,Cat_6
804,461681,Male,No,25,Yes,Healthcare,8,Low,3,Cat_7
805,461683,Male,Yes,40,Yes,Executive,1,High,4,Cat_6
806,461685,Female,No,27,Yes,Healthcare,4,Low,4,Cat_6
807,461686,Male,Yes,61,Yes,Artist,0,Low,2,Cat_6
808,461690,Female,No,33,Yes,Engineer,1,Low,1,Cat_4
809,461694,Male,No,28,Yes,Doctor,1,Low,4,Cat_4
810,461695,Female,Yes,48,Yes,Artist,2,Average,2,Cat_6
811,461698,Female,Yes,73,Yes,Artist,0,High,2,Cat_6
